662,388,785,388,785,409,662,409,0.8185914
144,388,263,388,263,409,144,409,0.8660743
0,386,136,386,136,414,0,414,0.83198345
458,385,514,385,514,411,458,411,0.7983753
359,385,463,385,463,410,359,410,0.81281227
267,388,356,383,358,410,270,414,0.8832872
515,382,664,382,664,413,515,413,0.76521873
854,341,981,341,981,360,854,360,0.77662784
611,341,729,341,729,360,611,360,0.79185456
140,341,263,341,263,360,140,360,0.8282838
2,339,134,339,134,363,2,363,0.7920409
1025,339,1085,339,1085,360,1025,360,0.8579351
737,339,847,339,847,360,737,360,0.8131538
520,339,602,339,602,360,520,360,0.8387034
361,339,464,339,464,360,361,360,0.8158471
270,338,357,338,357,363,270,363,0.84420043
455,337,514,337,514,363,455,363,0.75621754
790,292,914,292,914,311,790,311,0.75194114
958,291,1020,291,1020,312,958,312,0.83021265
605,290,734,290,734,313,605,313,0.7473917
519,290,606,290,606,313,519,313,0.76779526
359,290,463,290,463,313,359,313,0.79341877
268,288,361,288,361,317,268,317,0.78275317
142,290,265,290,265,313,142,313,0.8077662
1,288,134,291,133,315,0,312,0.7929201
732,288,792,288,792,315,732,315,0.7881247
463,290,512,290,512,313,463,313,0.78258586
0,240,160,244,159,268,0,264,0.7386688
166,243,228,243,228,265,166,265,0.79503924
817,220,965,220,965,240,817,240,0.81330806
606,220,721,220,721,241,606,241,0.8239513
723,217,812,217,812,242,723,242,0.8155033
517,218,607,215,608,239,518,242,0.8541283
463,218,512,218,512,242,463,242,0.8066603
359,217,461,217,461,242,359,242,0.82109857
268,216,359,216,359,244,268,244,0.80694544
137,218,264,216,265,239,138,242,0.8569799
0,212,136,216,134,244,0,240,0.765978
282,171,431,171,431,195,282,195,0.7447083
452,170,517,170,517,195,452,195,0.79604566
85,168,217,168,217,195,85,195,0.7678097
0,172,85,169,87,194,1,197,0.7708188
207,168,282,168,282,199,207,199,0.7558374
852,145,945,149,943,174,850,170,0.7985696
701,148,849,148,849,168,701,168,0.8288203
144,148,267,148,267,168,144,168,0.82852745
943,144,1009,144,1009,170,943,170,0.82394546
608,143,698,146,696,171,606,168,0.85635185
517,146,602,143,604,168,518,171,0.8348843
461,144,514,144,514,173,461,173,0.76521003
359,144,461,144,461,169,359,169,0.8373715
254,146,357,140,360,169,258,174,0.8095385
0,143,135,141,136,169,0,172,0.8270772
646,99,702,99,702,125,646,125,0.80639267
348,98,442,98,442,126,348,126,0.79572165
282,99,345,99,345,125,282,125,0.7968722
0,96,112,100,110,129,0,124,0.76727694
697,99,816,96,817,121,698,124,0.7883643
485,97,646,97,646,124,485,124,0.7461168
439,99,492,99,492,124,439,124,0.77400655
233,98,284,98,284,125,233,125,0.7430601
112,94,244,94,244,131,112,131,0.8176775
806,76,870,76,870,102,806,102,0.76733536
477,76,576,76,576,100,477,100,0.77659076
276,75,477,75,477,102,276,102,0.753152
59,76,204,76,204,100,59,100,0.7725949
929,76,1034,76,1034,97,929,97,0.80938345
868,76,934,76,934,97,868,97,0.80694777
644,70,814,74,813,101,643,97,0.85452557
186,75,281,72,283,101,188,104,0.75376546
0,76,57,76,57,99,0,99,0.79749364
586,75,643,75,643,97,586,97,0.85837847
844,51,1015,51,1015,74,844,74,0.82730216
697,51,785,51,785,75,697,75,0.8474441
648,52,697,52,697,74,648,74,0.8599363
429,51,603,51,603,75,429,75,0.8127666
64,52,185,52,185,73,64,73,0.8157266
784,49,839,49,839,75,784,75,0.7747559
298,49,423,49,423,73,298,73,0.84809196
252,50,295,50,295,74,252,74,0.749014
192,50,251,50,251,73,192,73,0.788622
0,50,59,50,59,73,0,73,0.7829442
0,2,167,0,168,27,0,30,0.75583655
