657,180,690,180,690,191,657,191,0.71064174
624,178,665,178,665,190,624,190,0.70768034
33,171,74,171,74,185,33,185,0.8839239
609,156,711,159,707,187,605,185,0.77355045
620,147,670,146,672,159,621,160,0.84798586
665,144,702,144,702,161,665,161,0.7080554
32,143,77,143,77,154,32,154,0.8891132
435,135,552,133,555,155,438,158,0.83888716
303,124,332,124,332,135,303,135,0.8161423
163,120,250,120,250,143,163,143,0.74025875
440,123,492,121,495,136,443,138,0.84405416
486,120,553,120,553,138,486,138,0.81605625
625,113,666,113,666,127,625,127,0.8506891
658,111,699,111,699,129,658,129,0.7889968
29,111,79,111,79,124,29,124,0.8450305
456,107,516,109,513,120,454,118,0.858127
157,103,206,103,206,125,157,125,0.83411664
508,86,530,87,527,103,505,102,0.7051702
12,83,93,81,94,94,13,95,0.87377965
630,81,666,81,666,94,630,94,0.79328215
654,78,693,78,693,96,654,96,0.80809045
33,51,74,51,74,65,33,65,0.86280835
630,42,667,42,667,54,630,54,0.8174895
649,39,690,38,694,56,653,57,0.7889007
45,25,80,25,80,42,45,42,0.8068981
45,8,80,8,80,26,45,26,0.82278985
460,5,530,5,530,23,460,23,0.84991205
200,5,241,5,241,23,200,23,0.8715634
